iter	Passed	Remaining
389	13806	21594
390	13843	21562
391	13874	21520
392	13905	21477
393	13935	21433
394	13965	21390
395	13995	21346
396	14033	21315
397	14066	21276
398	14097	21233
399	14125	21188
400	14156	21147
401	14188	21105
402	14219	21064
403	14255	21030
404	14288	20991
405	14322	20954
406	14354	20914
407	14389	20878
408	14422	20840
409	14453	20799
410	14492	20769
411	14524	20729
412	14556	20689
413	14588	20648
414	14619	20608
415	14652	20569
416	14690	20538
417	14729	20508
418	14761	20468
419	14793	20429
420	14824	20388
421	14855	20346
422	14886	20306
423	14918	20266
424	14957	20236
425	14989	20196
426	15020	20155
427	15050	20114
428	15082	20074
429	15115	20036
430	15146	19995
431	15177	19956
432	15273	20000
433	15305	19960
434	15336	19919
435	15365	19876
436	15400	19840
437	15435	19805
438	15466	19765
439	15497	19724
440	15528	19683
441	15559	19643
442	15590	19602
443	15668	19620
444	15699	19580
445	15730	19539
446	15759	19496
447	15790	19455
448	15820	19414
449	15851	19374
450	15883	19334
451	15920	19302
452	15952	19262
453	15983	19222
454	16014	19182
455	16046	19142
456	16076	19102
457	16111	19066
458	16145	19030
459	16176	18989
460	16206	18948
461	16239	18911
462	16271	18872
463	16305	18836
464	16344	18804
465	16381	18772
466	16416	18736
467	16449	18699
468	16483	18662
469	16517	18626
470	16551	18589
471	16595	18565
472	16630	18529
473	16664	18493
474	16697	18455
475	16731	18418
476	16764	18381
477	16799	18345
478	16843	18320
479	16879	18286
480	16913	18250
481	16948	18214
482	16981	18176
483	17015	18140
484	17049	18103
485	17093	18078
486	17127	18041
487	17160	18004
488	17193	17967
489	17227	17930
490	17261	17894
491	17294	17857
492	17337	17830
493	17375	17797
494	17410	17762
495	17445	17726
496	17479	17690
497	17513	17653
498	17546	17616
499	17586	17586
500	17619	17549
501	17653	17512
502	17686	17475
503	17721	17440
504	17754	17402
505	17787	17365
506	17828	17336
507	17861	17299
508	17895	17262
509	17929	17226
510	17963	17189
511	17996	17152
512	18030	17116
513	18068	17084
514	18103	17049
515	18137	17012
516	18170	16975
517	18203	16938
518	18237	16901
519	18270	16864
520	18310	16834
521	18343	16797
522	18379	16762
523	18412	16726
524	18445	16688
525	18480	16653
526	18514	16617
527	18555	16587
528	18592	16554
529	18626	16518
530	18659	16481
531	18694	16445
532	18727	16408
533	18761	16372
534	18801	16341
535	18834	16304
536	18868	16268
537	18901	16231
538	18934	16194
539	18969	16159
540	19011	16129
541	19045	16094
542	19079	16057
543	19114	16022
544	19147	15985
545	19181	15949
546	19214	15912
547	19254	15881
548	19289	15846
549	19325	15812
550	19360	15776
551	19394	15740
552	19428	15704
553	19461	15667
554	19500	15635
555	19535	15600
556	19567	15562
557	19601	15526
558	19635	15490
559	19670	15455
560	19704	15419
561	19746	15389
562	19779	15352
563	19812	15316
564	19847	15280
565	19881	15244
566	19936	15224
567	19975	15192
568	20009	15156
569	20046	15122
570	20080	15086
571	20113	15050
572	20147	15013
573	20181	14977
574	20221	14946
575	20254	14909
576	20287	14872
577	20321	14836
578	20356	14801
579	20389	14765
580	20423	14728
581	20462	14696
582	20497	14660
583	20532	14625
584	20565	14589
585	20600	14553
586	20636	14519
587	20675	14486
588	20725	14462
589	20761	14427
590	20795	14391
591	20828	14355
592	20868	14322
593	20903	14287
594	20937	14251
595	20970	14214
596	21003	14178
597	21037	14142
598	21071	14106
599	21111	14074
600	21144	14037
601	21177	14001
602	21211	13965
603	21244	13928
604	21278	13892
605	21311	13856
606	21355	13826
607	21390	13791
608	21424	13755
609	21458	13719
610	21491	13683
611	21524	13646
612	21558	13610
613	21594	13575
614	21656	13557
615	21687	13519
616	21721	13483
617	21755	13447
618	21797	13416
619	21831	13380
620	21864	13344
621	21898	13307
622	21931	13271
623	21964	13235
624	21997	13198
625	22036	13165
626	22072	13130
627	22106	13095
628	22139	13058
629	22172	13022
630	22206	12985
631	22238	12949
632	22281	12918
633	22317	12883
634	22351	12847
635	22383	12810
636	22416	12774
637	22451	12738
638	22484	12702
639	22529	12673
640	22566	12638
641	22602	12603
642	22635	12567
643	22669	12531
644	22704	12496
645	22738	12460
646	22779	12428
647	22814	12393
648	22849	12357
649	22882	12321
650	22914	12284
651	22948	12248
652	22981	12212
653	23021	12179
654	23056	12144
655	23089	12107
656	23122	12071
657	23156	12035
658	23190	11999
659	23223	11963
660	23262	11930
661	23296	11894
662	23330	11859
663	23364	11823
664	23398	11786
665	23432	11751
666	23467	11715
667	23505	11682
668	23538	11645
669	23570	11609
670	23604	11573
671	23639	11538
672	23673	11502
673	23711	11468
674	23744	11432
675	23778	11396
676	23812	11361
677	23846	11325
678	23879	11289
679	23918	11255
680	23954	11220
681	23987	11184
682	24022	11149
683	24054	11113
684	24089	11077
685	24122	11041
686	24160	11007
687	24194	10971
688	24228	10936
689	24261	10900
690	24301	10866
691	24336	10831
692	24380	10800
693	24415	10765
694	24448	10729
695	24482	10693
696	24515	10657
697	24550	10622
698	24591	10589
699	24625	10553
700	24658	10517
701	24692	10482
702	24725	10445
703	24760	10410
704	24868	10405
705	24901	10369
706	24936	10334
707	24970	10298
708	25011	10265
709	25046	10230
710	25080	10194
711	25113	10158
712	25148	10122
713	25181	10086
714	25214	10050
715	25254	10017
716	25291	9982
717	25325	9946
718	25359	9910
719	25392	9875
720	25426	9839
721	25461	9803
722	25499	9769
723	25534	9734
724	25568	9698
725	25602	9662
726	25636	9626
727	25669	9590
728	25714	9559
729	25751	9524
730	25793	9491
731	25830	9457
732	25864	9421
733	25898	9385
734	25937	9351
735	25973	9316
736	26008	9281
737	26041	9244
738	26074	9209
739	26108	9173
740	26141	9137
741	26182	9103
742	26216	9068
743	26250	9032
744	26285	8997
745	26319	8961
746	26352	8925
747	26385	8889
748	26426	8855
749	26461	8820
750	26494	8784
751	26528	8748
752	26561	8712
753	26597	8677
754	26634	8642
755	26669	8607
756	26703	8571
757	26736	8535
758	26770	8500
759	26803	8464
760	26846	8431
761	26881	8395
762	26914	8360
763	26947	8324
764	26980	8288
765	27013	8252
766	27047	8216
767	27088	8182
768	27121	8146
769	27154	8111
770	27188	8075
771	27221	8039
772	27254	8003
773	27290	7968
774	27333	7935
775	27368	7900
776	27402	7864
777	27437	7829
778	27471	7793
779	27506	7758
780	27539	7722
781	27581	7689
782	27619	7654
783	27653	7618
784	27688	7583
785	27720	7547
786	27754	7511
787	27788	7476
788	27829	7442
789	27863	7406
790	27897	7371
791	27930	7335
792	27964	7299
793	27998	7264
794	28041	7230
795	28075	7195
796	28108	7159
797	28142	7123
798	28177	7088
799	28211	7052
800	28244	7016
801	28291	6984
802	28326	6949
803	28360	6913
804	28393	6877
805	28426	6842
806	28460	6806
807	28493	6770
808	28538	6737
809	28573	6702
810	28606	6666
811	28640	6631
812	28673	6595
813	28707	6559
814	28741	6524
815	28783	6490
816	28815	6454
817	28847	6418
818	28881	6382
819	28914	6347
820	28946	6311
821	28981	6275
822	29022	6241
823	29057	6206
824	29092	6171
825	29125	6135
826	29159	6099
827	29192	6064
828	29226	6028
829	29270	5995
830	29304	5959
831	29338	5924
832	29370	5888
833	29404	5852
834	29438	5817
835	29471	5781
836	29510	5746
837	29544	5711
838	29578	5675
839	29611	5640
840	29645	5604
841	29678	5569
842	29711	5533
843	29751	5499
844	29786	5463
845	29820	5428
846	29853	5392
847	29887	5357
848	29920	5321
849	29954	5286
850	29994	5251
851	30029	5216
852	30063	5180
853	30096	5145
854	30129	5109
855	30162	5074
856	30195	5038
857	30235	5003
858	30272	4969
859	30305	4933
860	30339	4898
861	30373	4862
862	30406	4827
863	30440	4791
864	30478	4756
865	30512	4721
866	30546	4685
867	30581	4650
868	30616	4615
869	30648	4579
870	30689	4545
871	30723	4509
872	30757	4474
873	30791	4438
874	30824	4403
875	30857	4368
876	30891	4332
877	30932	4298
878	30966	4262
879	31001	4227
880	31035	4192
881	31069	4156
882	31102	4121
883	31136	4085
884	31176	4051
885	31211	4015
886	31246	3980
887	31279	3945
888	31312	3909
889	31346	3874
890	31379	3838
891	31419	3804
892	31453	3768
893	31487	3733
894	31520	3697
895	31554	3662
896	31592	3627
897	31629	3592
898	31663	3557
899	31697	3521
900	31731	3486
901	31765	3451
902	31798	3415
903	31837	3380
904	31872	3345
905	31905	3310
906	31939	3274
907	31972	3239
908	32007	3204
909	32045	3169
910	32079	3134
911	32113	3098
912	32147	3063
913	32180	3027
914	32214	2992
915	32259	2958
916	32295	2923
917	32328	2887
918	32362	2852
919	32395	2817
920	32429	2781
921	32464	2746
922	32505	2711
923	32537	2676
924	32571	2640
925	32605	2605
926	32639	2570
927	32673	2535
928	32713	2500
929	32750	2465
930	32784	2429
931	32818	2394
932	32852	2359
933	32885	2323
934	32929	2289
935	32965	2254
936	32998	2218
937	33031	2183
938	33066	2148
939	33103	2112
940	33140	2077
941	33174	2042
942	33207	2007
943	33243	1972
944	33277	1936
945	33310	1901
946	33413	1870
947	33449	1834
948	33483	1799
949	33517	1764
950	33551	1728
951	33585	1693
952	33620	1658
953	33664	1623
954	33698	1587
955	33731	1552
956	33765	1517
957	33799	1481
958	33832	1446
959	33866	1411
960	33909	1376
961	33944	1340
962	33977	1305
963	34012	1270
964	34046	1234
965	34080	1199
966	34115	1164
967	34156	1129
968	34190	1093
969	34227	1058
970	34262	1023
971	34296	987
972	34331	952
973	34376	917
974	34410	882
975	34443	846
976	34477	811
977	34511	776
978	34548	741
979	34584	705
980	34618	670
981	34653	635
982	34686	599
983	34719	564
984	34753	529
985	34793	494
986	34827	458
987	34861	423
988	34894	388
989	34926	352
990	34960	317
991	34993	282
992	35032	246
993	35067	211
994	35101	176
995	35135	141
996	35168	105
997	35201	70
998	35235	35
999	35274	0
