iter	Logloss
0	0.6468041386
1	0.6108311266
2	0.5814992779
3	0.559495656
4	0.5407681462
5	0.526267578
6	0.5146360433
7	0.5054849919
8	0.4980770364
9	0.4953170307
10	0.4897847531
11	0.4858500747
12	0.4843205612
13	0.4808791359
14	0.4779080302
15	0.4761406405
16	0.4744407836
17	0.4728425315
18	0.4710478151
19	0.4697380081
20	0.4682704688
21	0.4671296447
22	0.4661695094
23	0.4653154465
24	0.4642650786
25	0.4633052455
26	0.4625063851
27	0.4619713247
28	0.4614150648
29	0.4603008203
30	0.4596348366
31	0.4586511374
32	0.4580581417
33	0.4569652973
34	0.4564865722
35	0.4558002343
36	0.4552680517
37	0.4549474032
38	0.4546125285
39	0.454044659
40	0.4535498896
41	0.4529765933
42	0.4525384775
43	0.4522730343
44	0.4519263444
45	0.4513065454
46	0.4506133992
47	0.4503424546
48	0.4500946758
49	0.4496664362
50	0.4493885167
51	0.4487619323
52	0.4481417509
53	0.4478440109
54	0.4475904331
55	0.4471458862
56	0.4466295871
57	0.4461621213
58	0.4458458958
59	0.4457563787
60	0.4452567719
61	0.4449652182
62	0.4446270886
63	0.4441321432
64	0.4440743094
65	0.4437544856
66	0.4434619259
67	0.4430944597
68	0.4428389864
69	0.4426311639
70	0.442408242
71	0.4420179008
72	0.4415495109
73	0.44154796
74	0.4412145165
75	0.4408242223
76	0.4405368069
77	0.4403995486
78	0.4401063795
79	0.4394067136
80	0.4391755566
81	0.438886028
82	0.4388103155
83	0.4386792722
84	0.4385272746
85	0.4379661784
86	0.4374690217
87	0.4371109525
88	0.4367324111
89	0.436266128
90	0.4359262606
91	0.4355170569
92	0.4351357906
93	0.43484476
94	0.4346978294
95	0.4343418673
96	0.4340494067
97	0.4336843684
98	0.4333338565
99	0.4329584371
100	0.4326560287
101	0.432514423
102	0.4322214086
103	0.4319832374
104	0.4316111941
105	0.431467942
106	0.431118763
107	0.4309772926
108	0.4307539495
109	0.4303471301
110	0.430121202
111	0.4297711295
112	0.4296747275
113	0.4290839189
114	0.4289011182
115	0.4286594203
116	0.4280681984
117	0.4279478141
118	0.4276459934
119	0.4268290119
120	0.4262796187
121	0.4260114036
122	0.4258285257
123	0.4255799719
124	0.4250448828
125	0.4247912985
126	0.4245019031
127	0.4242306961
128	0.42404588
129	0.423818678
130	0.4238048277
131	0.4235615574
132	0.4230163599
133	0.4223930185
134	0.4220253484
135	0.4217729004
136	0.4210878424
137	0.42097031
138	0.4204697789
139	0.4201541676
140	0.4200539322
141	0.4197211329
142	0.4194278839
143	0.4193460918
144	0.4190801949
145	0.4188785249
146	0.4185997681
147	0.4183863944
148	0.4181537574
149	0.417701309
150	0.4175446651
151	0.4171524746
152	0.4162901545
153	0.4158328172
154	0.4150153855
155	0.4148675299
156	0.4147412738
157	0.4140124174
158	0.4137956795
159	0.413692884
160	0.4132235237
161	0.4125973964
162	0.4122698669
163	0.411927689
164	0.411646428
165	0.411184797
166	0.4108579395
167	0.4106209656
168	0.4106008734
169	0.4105116217
170	0.4101001744
171	0.4096643857
172	0.4094613656
173	0.4092739521
174	0.4091000857
175	0.4090382289
176	0.4087813685
177	0.4083026199
178	0.4080236658
179	0.4078587882
180	0.4076589544
181	0.4075603379
182	0.407221566
183	0.4070196495
184	0.4067891888
185	0.4066605951
186	0.4064418462
187	0.4062309298
188	0.4058501139
189	0.4054176687
190	0.4051175109
191	0.4047642417
192	0.4046381717
193	0.404529241
194	0.4043745378
195	0.4043109868
196	0.4040566868
197	0.4038219232
198	0.4037664443
199	0.4036674392
200	0.4033240683
201	0.4032711883
202	0.4029165955
203	0.4026364354
204	0.4025785943
205	0.4021394011
206	0.4019099777
207	0.4015840121
208	0.4012355827
209	0.4009391633
210	0.4008423064
211	0.4005630845
212	0.4004991859
213	0.4003383601
214	0.4000825019
215	0.3999283799
216	0.3993932339
217	0.3991837049
218	0.3987810176
219	0.3985520569
220	0.398045575
221	0.397937015
222	0.3979214545
223	0.3977122436
224	0.3973938884
225	0.397007705
226	0.3967426459
227	0.3963921657
228	0.3961168707
229	0.3960934763
230	0.3958310081
231	0.3955950885
232	0.3952723948
233	0.3952068168
234	0.3948844009
235	0.3944571889
236	0.394046069
237	0.3937240176
238	0.3934859036
239	0.3932102419
240	0.3930420858
241	0.3926726643
242	0.3923027784
243	0.3922086251
244	0.392061544
245	0.3919968496
246	0.3915098895
247	0.3914450218
248	0.3912794199
249	0.3911360926
250	0.3910324946
251	0.391012674
252	0.3906402098
253	0.3902792109
254	0.390120166
255	0.3898065235
256	0.3896425308
257	0.3894529918
258	0.3890542228
259	0.3887931366
260	0.3886242816
261	0.3881912353
262	0.3878656558
263	0.3877174138
264	0.3873411881
265	0.3869806109
266	0.3867065062
267	0.3865926215
268	0.3864043538
269	0.3860725939
270	0.385974574
271	0.385447604
272	0.3850926525
273	0.3849496069
274	0.3846521009
275	0.3844580605
276	0.3842345333
277	0.3839224384
278	0.3837400926
279	0.3835625999
280	0.3832353041
281	0.3830656831
282	0.3827296796
283	0.3824494972
284	0.3821431974
285	0.3817861717
286	0.3816747336
287	0.3814724381
288	0.3810385341
289	0.3806346129
290	0.3802420659
291	0.3800837577
292	0.3796787204
293	0.3792144096
294	0.3788814205
295	0.378541437
296	0.3783505736
297	0.3782146065
298	0.3780192818
299	0.3776491302
300	0.3774105485
301	0.3771704664
302	0.376925206
303	0.3766002201
304	0.3763482536
305	0.3762652525
306	0.375940685
307	0.3756267041
308	0.3753152318
309	0.375109703
310	0.3746840232
311	0.3745755141
312	0.3743203022
313	0.3740635921
314	0.3739552368
315	0.373656566
316	0.3730839506
317	0.3729978363
318	0.3725394381
319	0.3720741795
320	0.3717894586
321	0.3714974769
322	0.3713645143
323	0.3709511163
324	0.3707005108
325	0.3703832417
326	0.3703448515
327	0.370116663
328	0.3699215204
329	0.3698496024
330	0.3697216421
331	0.369616502
332	0.3693135661
333	0.3691220732
334	0.3688855208
335	0.3685671516
336	0.3683261415
337	0.3681349315
338	0.3678032616
339	0.3676553761
340	0.3675525015
341	0.3673823271
342	0.3672212154
343	0.3668699309
344	0.366835089
345	0.3667135095
346	0.3664626834
347	0.3662871953
348	0.3660170898
349	0.3657753838
350	0.365645772
351	0.3654787369
352	0.3652665505
353	0.3650362029
354	0.3649388729
355	0.3648870563
356	0.3646116311
357	0.3643251497
358	0.3640949218
359	0.3638180424
360	0.3637730217
361	0.3635230032
362	0.363112565
363	0.3629483218
364	0.3628010476
365	0.3624292663
366	0.3622531671
367	0.3619469976
368	0.3616742625
369	0.3614476201
370	0.3612373086
371	0.3610177757
372	0.360848348
373	0.3605069099
374	0.3604339528
375	0.3603599262
376	0.3603480226
377	0.3601461693
378	0.3598621607
379	0.3596885706
380	0.3593443672
381	0.359133063
382	0.3589411058
383	0.3588107104
384	0.3584845958
385	0.3582765678
386	0.3581274855
387	0.3580340121
388	0.357863394
389	0.3577001025
390	0.3575067153
391	0.3570165062
392	0.356929462
393	0.3566418733
394	0.3563745058
395	0.35623304
396	0.3560670332
397	0.3558704702
398	0.3555045528
399	0.3552181193
400	0.3550925301
401	0.3549698598
402	0.3549041991
403	0.3545861644
404	0.3543912814
405	0.3541277029
406	0.3538746738
407	0.353541669
408	0.3534272015
409	0.3532344762
410	0.3530436567
411	0.3530199442
412	0.3528869532
413	0.3527405043
414	0.3526373336
415	0.3523342099
416	0.3520963024
417	0.3517315837
418	0.3514379623
419	0.3510445193
420	0.3509070917
421	0.3508584995
422	0.3507582742
423	0.3505423365
424	0.3503284396
425	0.3501480428
426	0.3501077037
427	0.3498677739
428	0.3495277261
429	0.3493369273
430	0.3492824618
431	0.349145433
432	0.3490247773
433	0.3487451702
434	0.3483526847
435	0.3481556003
436	0.3479416664
437	0.3476072569
438	0.3473245878
439	0.3471782109
440	0.3471017808
441	0.3467846702
442	0.3464880681
443	0.3461756479
444	0.3457729182
445	0.3455096668
446	0.3453948812
447	0.3452341658
448	0.3449863277
449	0.3447520386
450	0.3447035981
451	0.3443804474
452	0.3441247316
453	0.3436626482
454	0.3435983006
455	0.3433054322
456	0.3431995124
457	0.3430290737
458	0.3429238412
459	0.3426664795
460	0.3423522011
461	0.3421685677
462	0.3420687789
463	0.3417050529
464	0.3414941713
465	0.3413106498
466	0.3409937105
467	0.3407841924
468	0.3405273951
469	0.3401964071
470	0.3399781933
471	0.3397599108
472	0.3396391237
473	0.3392507768
474	0.3390954411
475	0.3389162745
476	0.3387374394
477	0.3386136368
478	0.3385827793
479	0.3383220182
480	0.3380678136
481	0.3378894502
482	0.3376447715
483	0.3375812418
484	0.3373524402
485	0.3372381177
486	0.3370224419
487	0.336956044
488	0.3366641887
489	0.3363401674
490	0.3363045512
491	0.3362182215
492	0.3360698023
493	0.336009667
494	0.3357910675
495	0.335649733
496	0.3353710552
497	0.3352936538
498	0.33512346
499	0.3349183894
500	0.3346584573
501	0.3343032489
502	0.3340853305
503	0.3340105766
504	0.3337641076
505	0.3335943734
506	0.3333857301
507	0.3330744718
508	0.3329987046
509	0.3329367069
510	0.3325997967
511	0.3323845971
512	0.3320640015
513	0.3316912438
514	0.3313564547
515	0.3312613657
516	0.3309036736
517	0.3307094924
518	0.3306007659
519	0.3304400488
520	0.3302247887
